in:R,in:COS,in:GR,in:NOT,in:ST,in:LRR,img
11,3.5,2.2,8,50,4,WHELK_ARCTIC_SIDE_R3_COS0_GR7_NOT0_ST0_LRR0_SIDE_.png
12,3.5,2.2,8,50,4,WHELK_ARCTIC_SIDE_R4_COS0_GR7_NOT0_ST0_LRR0_SIDE_.png
8,3.6,2.2,8,50,4,WHELK_ARCTIC_SIDE_R0_COS1_GR7_NOT0_ST0_LRR0_SIDE_.png
9,3.6,2.2,8,50,4,WHELK_ARCTIC_SIDE_R1_COS1_GR7_NOT0_ST0_LRR0_SIDE_.png
10,3.6,2.2,8,50,4,WHELK_ARCTIC_SIDE_R2_COS1_GR7_NOT0_ST0_LRR0_SIDE_.png
11,3.6,2.2,8,50,4,WHELK_ARCTIC_SIDE_R3_COS1_GR7_NOT0_ST0_LRR0_SIDE_.png
12,3.6,2.2,8,50,4,WHELK_ARCTIC_SIDE_R4_COS1_GR7_NOT0_ST0_LRR0_SIDE_.png
8,3.7,2.2,8,50,4,WHELK_ARCTIC_SIDE_R0_COS2_GR7_NOT0_ST0_LRR0_SIDE_.png
9,3.7,2.2,8,50,4,WHELK_ARCTIC_SIDE_R1_COS2_GR7_NOT0_ST0_LRR0_SIDE_.png
10,3.7,2.2,8,50,4,WHELK_ARCTIC_SIDE_R2_COS2_GR7_NOT0_ST0_LRR0_SIDE_.png
11,3.7,2.2,8,50,4,WHELK_ARCTIC_SIDE_R3_COS2_GR7_NOT0_ST0_LRR0_SIDE_.png
12,3.7,2.2,8,50,4,WHELK_ARCTIC_SIDE_R4_COS2_GR7_NOT0_ST0_LRR0_SIDE_.png
8,3.8,2.2,8,50,4,WHELK_ARCTIC_SIDE_R0_COS3_GR7_NOT0_ST0_LRR0_SIDE_.png
9,3.8,2.2,8,50,4,WHELK_ARCTIC_SIDE_R1_COS3_GR7_NOT0_ST0_LRR0_SIDE_.png
10,3.8,2.2,8,50,4,WHELK_ARCTIC_SIDE_R2_COS3_GR7_NOT0_ST0_LRR0_SIDE_.png
11,3.8,2.2,8,50,4,WHELK_ARCTIC_SIDE_R3_COS3_GR7_NOT0_ST0_LRR0_SIDE_.png
12,3.8,2.2,8,50,4,WHELK_ARCTIC_SIDE_R4_COS3_GR7_NOT0_ST0_LRR0_SIDE_.png
8,3.9,2.2,8,50,4,WHELK_ARCTIC_SIDE_R0_COS4_GR7_NOT0_ST0_LRR0_SIDE_.png
9,3.9,2.2,8,50,4,WHELK_ARCTIC_SIDE_R1_COS4_GR7_NOT0_ST0_LRR0_SIDE_.png
10,3.9,2.2,8,50,4,WHELK_ARCTIC_SIDE_R2_COS4_GR7_NOT0_ST0_LRR0_SIDE_.png
11,3.9,2.2,8,50,4,WHELK_ARCTIC_SIDE_R3_COS4_GR7_NOT0_ST0_LRR0_SIDE_.png
12,3.9,2.2,8,50,4,WHELK_ARCTIC_SIDE_R4_COS4_GR7_NOT0_ST0_LRR0_SIDE_.png
8,4,2.2,8,50,4,WHELK_ARCTIC_SIDE_R0_COS5_GR7_NOT0_ST0_LRR0_SIDE_.png
9,4,2.2,8,50,4,WHELK_ARCTIC_SIDE_R1_COS5_GR7_NOT0_ST0_LRR0_SIDE_.png
10,4,2.2,8,50,4,WHELK_ARCTIC_SIDE_R2_COS5_GR7_NOT0_ST0_LRR0_SIDE_.png
11,4,2.2,8,50,4,WHELK_ARCTIC_SIDE_R3_COS5_GR7_NOT0_ST0_LRR0_SIDE_.png
12,4,2.2,8,50,4,WHELK_ARCTIC_SIDE_R4_COS5_GR7_NOT0_ST0_LRR0_SIDE_.png
8,3.5,2.3,8,50,4,WHELK_ARCTIC_SIDE_R0_COS0_GR8_NOT0_ST0_LRR0_SIDE_.png
9,3.5,2.3,8,50,4,WHELK_ARCTIC_SIDE_R1_COS0_GR8_NOT0_ST0_LRR0_SIDE_.png
10,3.5,2.3,8,50,4,WHELK_ARCTIC_SIDE_R2_COS0_GR8_NOT0_ST0_LRR0_SIDE_.png
11,3.5,2.3,8,50,4,WHELK_ARCTIC_SIDE_R3_COS0_GR8_NOT0_ST0_LRR0_SIDE_.png
12,3.5,2.3,8,50,4,WHELK_ARCTIC_SIDE_R4_COS0_GR8_NOT0_ST0_LRR0_SIDE_.png
8,3.6,2.3,8,50,4,WHELK_ARCTIC_SIDE_R0_COS1_GR8_NOT0_ST0_LRR0_SIDE_.png
9,3.6,2.3,8,50,4,WHELK_ARCTIC_SIDE_R1_COS1_GR8_NOT0_ST0_LRR0_SIDE_.png
10,3.6,2.3,8,50,4,WHELK_ARCTIC_SIDE_R2_COS1_GR8_NOT0_ST0_LRR0_SIDE_.png
11,3.6,2.3,8,50,4,WHELK_ARCTIC_SIDE_R3_COS1_GR8_NOT0_ST0_LRR0_SIDE_.png
12,3.6,2.3,8,50,4,WHELK_ARCTIC_SIDE_R4_COS1_GR8_NOT0_ST0_LRR0_SIDE_.png
8,3.7,2.3,8,50,4,WHELK_ARCTIC_SIDE_R0_COS2_GR8_NOT0_ST0_LRR0_SIDE_.png
9,3.7,2.3,8,50,4,WHELK_ARCTIC_SIDE_R1_COS2_GR8_NOT0_ST0_LRR0_SIDE_.png
10,3.7,2.3,8,50,4,WHELK_ARCTIC_SIDE_R2_COS2_GR8_NOT0_ST0_LRR0_SIDE_.png
11,3.7,2.3,8,50,4,WHELK_ARCTIC_SIDE_R3_COS2_GR8_NOT0_ST0_LRR0_SIDE_.png
12,3.7,2.3,8,50,4,WHELK_ARCTIC_SIDE_R4_COS2_GR8_NOT0_ST0_LRR0_SIDE_.png
8,3.8,2.3,8,50,4,WHELK_ARCTIC_SIDE_R0_COS3_GR8_NOT0_ST0_LRR0_SIDE_.png
9,3.8,2.3,8,50,4,WHELK_ARCTIC_SIDE_R1_COS3_GR8_NOT0_ST0_LRR0_SIDE_.png
10,3.8,2.3,8,50,4,WHELK_ARCTIC_SIDE_R2_COS3_GR8_NOT0_ST0_LRR0_SIDE_.png
11,3.8,2.3,8,50,4,WHELK_ARCTIC_SIDE_R3_COS3_GR8_NOT0_ST0_LRR0_SIDE_.png
12,3.8,2.3,8,50,4,WHELK_ARCTIC_SIDE_R4_COS3_GR8_NOT0_ST0_LRR0_SIDE_.png
8,3.9,2.3,8,50,4,WHELK_ARCTIC_SIDE_R0_COS4_GR8_NOT0_ST0_LRR0_SIDE_.png
9,3.9,2.3,8,50,4,WHELK_ARCTIC_SIDE_R1_COS4_GR8_NOT0_ST0_LRR0_SIDE_.png
10,3.9,2.3,8,50,4,WHELK_ARCTIC_SIDE_R2_COS4_GR8_NOT0_ST0_LRR0_SIDE_.png
11,3.9,2.3,8,50,4,WHELK_ARCTIC_SIDE_R3_COS4_GR8_NOT0_ST0_LRR0_SIDE_.png
12,3.9,2.3,8,50,4,WHELK_ARCTIC_SIDE_R4_COS4_GR8_NOT0_ST0_LRR0_SIDE_.png
8,4,2.3,8,50,4,WHELK_ARCTIC_SIDE_R0_COS5_GR8_NOT0_ST0_LRR0_SIDE_.png
9,4,2.3,8,50,4,WHELK_ARCTIC_SIDE_R1_COS5_GR8_NOT0_ST0_LRR0_SIDE_.png
10,4,2.3,8,50,4,WHELK_ARCTIC_SIDE_R2_COS5_GR8_NOT0_ST0_LRR0_SIDE_.png
11,4,2.3,8,50,4,WHELK_ARCTIC_SIDE_R3_COS5_GR8_NOT0_ST0_LRR0_SIDE_.png
12,4,2.3,8,50,4,WHELK_ARCTIC_SIDE_R4_COS5_GR8_NOT0_ST0_LRR0_SIDE_.png
8,3.5,2.4,8,50,4,WHELK_ARCTIC_SIDE_R0_COS0_GR9_NOT0_ST0_LRR0_SIDE_.png
9,3.5,2.4,8,50,4,WHELK_ARCTIC_SIDE_R1_COS0_GR9_NOT0_ST0_LRR0_SIDE_.png
10,3.5,2.4,8,50,4,WHELK_ARCTIC_SIDE_R2_COS0_GR9_NOT0_ST0_LRR0_SIDE_.png
11,3.5,2.4,8,50,4,WHELK_ARCTIC_SIDE_R3_COS0_GR9_NOT0_ST0_LRR0_SIDE_.png
12,3.5,2.4,8,50,4,WHELK_ARCTIC_SIDE_R4_COS0_GR9_NOT0_ST0_LRR0_SIDE_.png
8,3.6,2.4,8,50,4,WHELK_ARCTIC_SIDE_R0_COS1_GR9_NOT0_ST0_LRR0_SIDE_.png
9,3.6,2.4,8,50,4,WHELK_ARCTIC_SIDE_R1_COS1_GR9_NOT0_ST0_LRR0_SIDE_.png
10,3.6,2.4,8,50,4,WHELK_ARCTIC_SIDE_R2_COS1_GR9_NOT0_ST0_LRR0_SIDE_.png
11,3.6,2.4,8,50,4,WHELK_ARCTIC_SIDE_R3_COS1_GR9_NOT0_ST0_LRR0_SIDE_.png
12,3.6,2.4,8,50,4,WHELK_ARCTIC_SIDE_R4_COS1_GR9_NOT0_ST0_LRR0_SIDE_.png
8,3.7,2.4,8,50,4,WHELK_ARCTIC_SIDE_R0_COS2_GR9_NOT0_ST0_LRR0_SIDE_.png
9,3.7,2.4,8,50,4,WHELK_ARCTIC_SIDE_R1_COS2_GR9_NOT0_ST0_LRR0_SIDE_.png
10,3.7,2.4,8,50,4,WHELK_ARCTIC_SIDE_R2_COS2_GR9_NOT0_ST0_LRR0_SIDE_.png
11,3.7,2.4,8,50,4,WHELK_ARCTIC_SIDE_R3_COS2_GR9_NOT0_ST0_LRR0_SIDE_.png
12,3.7,2.4,8,50,4,WHELK_ARCTIC_SIDE_R4_COS2_GR9_NOT0_ST0_LRR0_SIDE_.png
8,3.8,2.4,8,50,4,WHELK_ARCTIC_SIDE_R0_COS3_GR9_NOT0_ST0_LRR0_SIDE_.png
9,3.8,2.4,8,50,4,WHELK_ARCTIC_SIDE_R1_COS3_GR9_NOT0_ST0_LRR0_SIDE_.png
10,3.8,2.4,8,50,4,WHELK_ARCTIC_SIDE_R2_COS3_GR9_NOT0_ST0_LRR0_SIDE_.png
11,3.8,2.4,8,50,4,WHELK_ARCTIC_SIDE_R3_COS3_GR9_NOT0_ST0_LRR0_SIDE_.png
12,3.8,2.4,8,50,4,WHELK_ARCTIC_SIDE_R4_COS3_GR9_NOT0_ST0_LRR0_SIDE_.png
8,3.9,2.4,8,50,4,WHELK_ARCTIC_SIDE_R0_COS4_GR9_NOT0_ST0_LRR0_SIDE_.png
9,3.9,2.4,8,50,4,WHELK_ARCTIC_SIDE_R1_COS4_GR9_NOT0_ST0_LRR0_SIDE_.png
10,3.9,2.4,8,50,4,WHELK_ARCTIC_SIDE_R2_COS4_GR9_NOT0_ST0_LRR0_SIDE_.png
11,3.9,2.4,8,50,4,WHELK_ARCTIC_SIDE_R3_COS4_GR9_NOT0_ST0_LRR0_SIDE_.png
12,3.9,2.4,8,50,4,WHELK_ARCTIC_SIDE_R4_COS4_GR9_NOT0_ST0_LRR0_SIDE_.png
8,4,2.4,8,50,4,WHELK_ARCTIC_SIDE_R0_COS5_GR9_NOT0_ST0_LRR0_SIDE_.png
9,4,2.4,8,50,4,WHELK_ARCTIC_SIDE_R1_COS5_GR9_NOT0_ST0_LRR0_SIDE_.png
10,4,2.4,8,50,4,WHELK_ARCTIC_SIDE_R2_COS5_GR9_NOT0_ST0_LRR0_SIDE_.png
11,4,2.4,8,50,4,WHELK_ARCTIC_SIDE_R3_COS5_GR9_NOT0_ST0_LRR0_SIDE_.png
12,4,2.4,8,50,4,WHELK_ARCTIC_SIDE_R4_COS5_GR9_NOT0_ST0_LRR0_SIDE_.png
8,3.5,2.5,8,50,4,WHELK_ARCTIC_SIDE_R0_COS0_GR10_NOT0_ST0_LRR0_SIDE_.png
9,3.5,2.5,8,50,4,WHELK_ARCTIC_SIDE_R1_COS0_GR10_NOT0_ST0_LRR0_SIDE_.png
10,3.5,2.5,8,50,4,WHELK_ARCTIC_SIDE_R2_COS0_GR10_NOT0_ST0_LRR0_SIDE_.png
11,3.5,2.5,8,50,4,WHELK_ARCTIC_SIDE_R3_COS0_GR10_NOT0_ST0_LRR0_SIDE_.png
12,3.5,2.5,8,50,4,WHELK_ARCTIC_SIDE_R4_COS0_GR10_NOT0_ST0_LRR0_SIDE_.png
8,3.6,2.5,8,50,4,WHELK_ARCTIC_SIDE_R0_COS1_GR10_NOT0_ST0_LRR0_SIDE_.png
9,3.6,2.5,8,50,4,WHELK_ARCTIC_SIDE_R1_COS1_GR10_NOT0_ST0_LRR0_SIDE_.png
10,3.6,2.5,8,50,4,WHELK_ARCTIC_SIDE_R2_COS1_GR10_NOT0_ST0_LRR0_SIDE_.png
11,3.6,2.5,8,50,4,WHELK_ARCTIC_SIDE_R3_COS1_GR10_NOT0_ST0_LRR0_SIDE_.png
12,3.6,2.5,8,50,4,WHELK_ARCTIC_SIDE_R4_COS1_GR10_NOT0_ST0_LRR0_SIDE_.png
8,3.7,2.5,8,50,4,WHELK_ARCTIC_SIDE_R0_COS2_GR10_NOT0_ST0_LRR0_SIDE_.png
9,3.7,2.5,8,50,4,WHELK_ARCTIC_SIDE_R1_COS2_GR10_NOT0_ST0_LRR0_SIDE_.png
10,3.7,2.5,8,50,4,WHELK_ARCTIC_SIDE_R2_COS2_GR10_NOT0_ST0_LRR0_SIDE_.png
11,3.7,2.5,8,50,4,WHELK_ARCTIC_SIDE_R3_COS2_GR10_NOT0_ST0_LRR0_SIDE_.png
12,3.7,2.5,8,50,4,WHELK_ARCTIC_SIDE_R4_COS2_GR10_NOT0_ST0_LRR0_SIDE_.png
8,3.8,2.5,8,50,4,WHELK_ARCTIC_SIDE_R0_COS3_GR10_NOT0_ST0_LRR0_SIDE_.png
9,3.8,2.5,8,50,4,WHELK_ARCTIC_SIDE_R1_COS3_GR10_NOT0_ST0_LRR0_SIDE_.png
10,3.8,2.5,8,50,4,WHELK_ARCTIC_SIDE_R2_COS3_GR10_NOT0_ST0_LRR0_SIDE_.png
11,3.8,2.5,8,50,4,WHELK_ARCTIC_SIDE_R3_COS3_GR10_NOT0_ST0_LRR0_SIDE_.png
12,3.8,2.5,8,50,4,WHELK_ARCTIC_SIDE_R4_COS3_GR10_NOT0_ST0_LRR0_SIDE_.png
8,3.9,2.5,8,50,4,WHELK_ARCTIC_SIDE_R0_COS4_GR10_NOT0_ST0_LRR0_SIDE_.png
9,3.9,2.5,8,50,4,WHELK_ARCTIC_SIDE_R1_COS4_GR10_NOT0_ST0_LRR0_SIDE_.png
10,3.9,2.5,8,50,4,WHELK_ARCTIC_SIDE_R2_COS4_GR10_NOT0_ST0_LRR0_SIDE_.png
11,3.9,2.5,8,50,4,WHELK_ARCTIC_SIDE_R3_COS4_GR10_NOT0_ST0_LRR0_SIDE_.png
12,3.9,2.5,8,50,4,WHELK_ARCTIC_SIDE_R4_COS4_GR10_NOT0_ST0_LRR0_SIDE_.png
8,4,2.5,8,50,4,WHELK_ARCTIC_SIDE_R0_COS5_GR10_NOT0_ST0_LRR0_SIDE_.png
9,4,2.5,8,50,4,WHELK_ARCTIC_SIDE_R1_COS5_GR10_NOT0_ST0_LRR0_SIDE_.png
10,4,2.5,8,50,4,WHELK_ARCTIC_SIDE_R2_COS5_GR10_NOT0_ST0_LRR0_SIDE_.png
11,4,2.5,8,50,4,WHELK_ARCTIC_SIDE_R3_COS5_GR10_NOT0_ST0_LRR0_SIDE_.png
12,4,2.5,8,50,4,WHELK_ARCTIC_SIDE_R4_COS5_GR10_NOT0_ST0_LRR0_SIDE_.png
8,3.5,1.5,9,50,4,WHELK_ARCTIC_SIDE_R0_COS0_GR0_NOT1_ST0_LRR0_SIDE_.png
9,3.5,1.5,9,50,4,WHELK_ARCTIC_SIDE_R1_COS0_GR0_NOT1_ST0_LRR0_SIDE_.png
10,3.5,1.5,9,50,4,WHELK_ARCTIC_SIDE_R2_COS0_GR0_NOT1_ST0_LRR0_SIDE_.png
11,3.5,1.5,9,50,4,WHELK_ARCTIC_SIDE_R3_COS0_GR0_NOT1_ST0_LRR0_SIDE_.png
12,3.5,1.5,9,50,4,WHELK_ARCTIC_SIDE_R4_COS0_GR0_NOT1_ST0_LRR0_SIDE_.png
8,3.6,1.5,9,50,4,WHELK_ARCTIC_SIDE_R0_COS1_GR0_NOT1_ST0_LRR0_SIDE_.png
9,3.6,1.5,9,50,4,WHELK_ARCTIC_SIDE_R1_COS1_GR0_NOT1_ST0_LRR0_SIDE_.png
10,3.6,1.5,9,50,4,WHELK_ARCTIC_SIDE_R2_COS1_GR0_NOT1_ST0_LRR0_SIDE_.png
11,3.6,1.5,9,50,4,WHELK_ARCTIC_SIDE_R3_COS1_GR0_NOT1_ST0_LRR0_SIDE_.png
12,3.6,1.5,9,50,4,WHELK_ARCTIC_SIDE_R4_COS1_GR0_NOT1_ST0_LRR0_SIDE_.png
8,3.7,1.5,9,50,4,WHELK_ARCTIC_SIDE_R0_COS2_GR0_NOT1_ST0_LRR0_SIDE_.png
9,3.7,1.5,9,50,4,WHELK_ARCTIC_SIDE_R1_COS2_GR0_NOT1_ST0_LRR0_SIDE_.png
10,3.7,1.5,9,50,4,WHELK_ARCTIC_SIDE_R2_COS2_GR0_NOT1_ST0_LRR0_SIDE_.png
11,3.7,1.5,9,50,4,WHELK_ARCTIC_SIDE_R3_COS2_GR0_NOT1_ST0_LRR0_SIDE_.png
12,3.7,1.5,9,50,4,WHELK_ARCTIC_SIDE_R4_COS2_GR0_NOT1_ST0_LRR0_SIDE_.png
8,3.8,1.5,9,50,4,WHELK_ARCTIC_SIDE_R0_COS3_GR0_NOT1_ST0_LRR0_SIDE_.png
9,3.8,1.5,9,50,4,WHELK_ARCTIC_SIDE_R1_COS3_GR0_NOT1_ST0_LRR0_SIDE_.png
10,3.8,1.5,9,50,4,WHELK_ARCTIC_SIDE_R2_COS3_GR0_NOT1_ST0_LRR0_SIDE_.png
11,3.8,1.5,9,50,4,WHELK_ARCTIC_SIDE_R3_COS3_GR0_NOT1_ST0_LRR0_SIDE_.png
12,3.8,1.5,9,50,4,WHELK_ARCTIC_SIDE_R4_COS3_GR0_NOT1_ST0_LRR0_SIDE_.png
8,3.9,1.5,9,50,4,WHELK_ARCTIC_SIDE_R0_COS4_GR0_NOT1_ST0_LRR0_SIDE_.png
9,3.9,1.5,9,50,4,WHELK_ARCTIC_SIDE_R1_COS4_GR0_NOT1_ST0_LRR0_SIDE_.png
10,3.9,1.5,9,50,4,WHELK_ARCTIC_SIDE_R2_COS4_GR0_NOT1_ST0_LRR0_SIDE_.png
11,3.9,1.5,9,50,4,WHELK_ARCTIC_SIDE_R3_COS4_GR0_NOT1_ST0_LRR0_SIDE_.png
12,3.9,1.5,9,50,4,WHELK_ARCTIC_SIDE_R4_COS4_GR0_NOT1_ST0_LRR0_SIDE_.png
8,4,1.5,9,50,4,WHELK_ARCTIC_SIDE_R0_COS5_GR0_NOT1_ST0_LRR0_SIDE_.png
9,4,1.5,9,50,4,WHELK_ARCTIC_SIDE_R1_COS5_GR0_NOT1_ST0_LRR0_SIDE_.png
10,4,1.5,9,50,4,WHELK_ARCTIC_SIDE_R2_COS5_GR0_NOT1_ST0_LRR0_SIDE_.png
11,4,1.5,9,50,4,WHELK_ARCTIC_SIDE_R3_COS5_GR0_NOT1_ST0_LRR0_SIDE_.png
12,4,1.5,9,50,4,WHELK_ARCTIC_SIDE_R4_COS5_GR0_NOT1_ST0_LRR0_SIDE_.png
8,3.5,1.6,9,50,4,WHELK_ARCTIC_SIDE_R0_COS0_GR1_NOT1_ST0_LRR0_SIDE_.png
9,3.5,1.6,9,50,4,WHELK_ARCTIC_SIDE_R1_COS0_GR1_NOT1_ST0_LRR0_SIDE_.png
10,3.5,1.6,9,50,4,WHELK_ARCTIC_SIDE_R2_COS0_GR1_NOT1_ST0_LRR0_SIDE_.png
11,3.5,1.6,9,50,4,WHELK_ARCTIC_SIDE_R3_COS0_GR1_NOT1_ST0_LRR0_SIDE_.png
12,3.5,1.6,9,50,4,WHELK_ARCTIC_SIDE_R4_COS0_GR1_NOT1_ST0_LRR0_SIDE_.png
8,3.6,1.6,9,50,4,WHELK_ARCTIC_SIDE_R0_COS1_GR1_NOT1_ST0_LRR0_SIDE_.png
9,3.6,1.6,9,50,4,WHELK_ARCTIC_SIDE_R1_COS1_GR1_NOT1_ST0_LRR0_SIDE_.png
10,3.6,1.6,9,50,4,WHELK_ARCTIC_SIDE_R2_COS1_GR1_NOT1_ST0_LRR0_SIDE_.png
11,3.6,1.6,9,50,4,WHELK_ARCTIC_SIDE_R3_COS1_GR1_NOT1_ST0_LRR0_SIDE_.png
12,3.6,1.6,9,50,4,WHELK_ARCTIC_SIDE_R4_COS1_GR1_NOT1_ST0_LRR0_SIDE_.png
8,3.7,1.6,9,50,4,WHELK_ARCTIC_SIDE_R0_COS2_GR1_NOT1_ST0_LRR0_SIDE_.png
9,3.7,1.6,9,50,4,WHELK_ARCTIC_SIDE_R1_COS2_GR1_NOT1_ST0_LRR0_SIDE_.png
10,3.7,1.6,9,50,4,WHELK_ARCTIC_SIDE_R2_COS2_GR1_NOT1_ST0_LRR0_SIDE_.png
11,3.7,1.6,9,50,4,WHELK_ARCTIC_SIDE_R3_COS2_GR1_NOT1_ST0_LRR0_SIDE_.png
12,3.7,1.6,9,50,4,WHELK_ARCTIC_SIDE_R4_COS2_GR1_NOT1_ST0_LRR0_SIDE_.png
8,3.8,1.6,9,50,4,WHELK_ARCTIC_SIDE_R0_COS3_GR1_NOT1_ST0_LRR0_SIDE_.png
9,3.8,1.6,9,50,4,WHELK_ARCTIC_SIDE_R1_COS3_GR1_NOT1_ST0_LRR0_SIDE_.png
10,3.8,1.6,9,50,4,WHELK_ARCTIC_SIDE_R2_COS3_GR1_NOT1_ST0_LRR0_SIDE_.png
11,3.8,1.6,9,50,4,WHELK_ARCTIC_SIDE_R3_COS3_GR1_NOT1_ST0_LRR0_SIDE_.png
12,3.8,1.6,9,50,4,WHELK_ARCTIC_SIDE_R4_COS3_GR1_NOT1_ST0_LRR0_SIDE_.png
8,3.9,1.6,9,50,4,WHELK_ARCTIC_SIDE_R0_COS4_GR1_NOT1_ST0_LRR0_SIDE_.png
9,3.9,1.6,9,50,4,WHELK_ARCTIC_SIDE_R1_COS4_GR1_NOT1_ST0_LRR0_SIDE_.png
10,3.9,1.6,9,50,4,WHELK_ARCTIC_SIDE_R2_COS4_GR1_NOT1_ST0_LRR0_SIDE_.png
11,3.9,1.6,9,50,4,WHELK_ARCTIC_SIDE_R3_COS4_GR1_NOT1_ST0_LRR0_SIDE_.png
12,3.9,1.6,9,50,4,WHELK_ARCTIC_SIDE_R4_COS4_GR1_NOT1_ST0_LRR0_SIDE_.png
8,4,1.6,9,50,4,WHELK_ARCTIC_SIDE_R0_COS5_GR1_NOT1_ST0_LRR0_SIDE_.png
9,4,1.6,9,50,4,WHELK_ARCTIC_SIDE_R1_COS5_GR1_NOT1_ST0_LRR0_SIDE_.png
10,4,1.6,9,50,4,WHELK_ARCTIC_SIDE_R2_COS5_GR1_NOT1_ST0_LRR0_SIDE_.png
11,4,1.6,9,50,4,WHELK_ARCTIC_SIDE_R3_COS5_GR1_NOT1_ST0_LRR0_SIDE_.png
12,4,1.6,9,50,4,WHELK_ARCTIC_SIDE_R4_COS5_GR1_NOT1_ST0_LRR0_SIDE_.png
8,3.5,1.7,9,50,4,WHELK_ARCTIC_SIDE_R0_COS0_GR2_NOT1_ST0_LRR0_SIDE_.png
9,3.5,1.7,9,50,4,WHELK_ARCTIC_SIDE_R1_COS0_GR2_NOT1_ST0_LRR0_SIDE_.png
10,3.5,1.7,9,50,4,WHELK_ARCTIC_SIDE_R2_COS0_GR2_NOT1_ST0_LRR0_SIDE_.png
11,3.5,1.7,9,50,4,WHELK_ARCTIC_SIDE_R3_COS0_GR2_NOT1_ST0_LRR0_SIDE_.png
12,3.5,1.7,9,50,4,WHELK_ARCTIC_SIDE_R4_COS0_GR2_NOT1_ST0_LRR0_SIDE_.png
8,3.6,1.7,9,50,4,WHELK_ARCTIC_SIDE_R0_COS1_GR2_NOT1_ST0_LRR0_SIDE_.png
9,3.6,1.7,9,50,4,WHELK_ARCTIC_SIDE_R1_COS1_GR2_NOT1_ST0_LRR0_SIDE_.png
10,3.6,1.7,9,50,4,WHELK_ARCTIC_SIDE_R2_COS1_GR2_NOT1_ST0_LRR0_SIDE_.png
11,3.6,1.7,9,50,4,WHELK_ARCTIC_SIDE_R3_COS1_GR2_NOT1_ST0_LRR0_SIDE_.png
12,3.6,1.7,9,50,4,WHELK_ARCTIC_SIDE_R4_COS1_GR2_NOT1_ST0_LRR0_SIDE_.png
8,3.7,1.7,9,50,4,WHELK_ARCTIC_SIDE_R0_COS2_GR2_NOT1_ST0_LRR0_SIDE_.png
9,3.7,1.7,9,50,4,WHELK_ARCTIC_SIDE_R1_COS2_GR2_NOT1_ST0_LRR0_SIDE_.png
10,3.7,1.7,9,50,4,WHELK_ARCTIC_SIDE_R2_COS2_GR2_NOT1_ST0_LRR0_SIDE_.png
11,3.7,1.7,9,50,4,WHELK_ARCTIC_SIDE_R3_COS2_GR2_NOT1_ST0_LRR0_SIDE_.png
12,3.7,1.7,9,50,4,WHELK_ARCTIC_SIDE_R4_COS2_GR2_NOT1_ST0_LRR0_SIDE_.png
8,3.8,1.7,9,50,4,WHELK_ARCTIC_SIDE_R0_COS3_GR2_NOT1_ST0_LRR0_SIDE_.png
9,3.8,1.7,9,50,4,WHELK_ARCTIC_SIDE_R1_COS3_GR2_NOT1_ST0_LRR0_SIDE_.png
10,3.8,1.7,9,50,4,WHELK_ARCTIC_SIDE_R2_COS3_GR2_NOT1_ST0_LRR0_SIDE_.png
11,3.8,1.7,9,50,4,WHELK_ARCTIC_SIDE_R3_COS3_GR2_NOT1_ST0_LRR0_SIDE_.png
12,3.8,1.7,9,50,4,WHELK_ARCTIC_SIDE_R4_COS3_GR2_NOT1_ST0_LRR0_SIDE_.png
8,3.9,1.7,9,50,4,WHELK_ARCTIC_SIDE_R0_COS4_GR2_NOT1_ST0_LRR0_SIDE_.png
9,3.9,1.7,9,50,4,WHELK_ARCTIC_SIDE_R1_COS4_GR2_NOT1_ST0_LRR0_SIDE_.png
10,3.9,1.7,9,50,4,WHELK_ARCTIC_SIDE_R2_COS4_GR2_NOT1_ST0_LRR0_SIDE_.png
11,3.9,1.7,9,50,4,WHELK_ARCTIC_SIDE_R3_COS4_GR2_NOT1_ST0_LRR0_SIDE_.png
12,3.9,1.7,9,50,4,WHELK_ARCTIC_SIDE_R4_COS4_GR2_NOT1_ST0_LRR0_SIDE_.png
8,4,1.7,9,50,4,WHELK_ARCTIC_SIDE_R0_COS5_GR2_NOT1_ST0_LRR0_SIDE_.png
9,4,1.7,9,50,4,WHELK_ARCTIC_SIDE_R1_COS5_GR2_NOT1_ST0_LRR0_SIDE_.png
10,4,1.7,9,50,4,WHELK_ARCTIC_SIDE_R2_COS5_GR2_NOT1_ST0_LRR0_SIDE_.png
11,4,1.7,9,50,4,WHELK_ARCTIC_SIDE_R3_COS5_GR2_NOT1_ST0_LRR0_SIDE_.png
12,4,1.7,9,50,4,WHELK_ARCTIC_SIDE_R4_COS5_GR2_NOT1_ST0_LRR0_SIDE_.png
8,3.5,1.8,9,50,4,WHELK_ARCTIC_SIDE_R0_COS0_GR3_NOT1_ST0_LRR0_SIDE_.png
9,3.5,1.8,9,50,4,WHELK_ARCTIC_SIDE_R1_COS0_GR3_NOT1_ST0_LRR0_SIDE_.png
10,3.5,1.8,9,50,4,WHELK_ARCTIC_SIDE_R2_COS0_GR3_NOT1_ST0_LRR0_SIDE_.png
11,3.5,1.8,9,50,4,WHELK_ARCTIC_SIDE_R3_COS0_GR3_NOT1_ST0_LRR0_SIDE_.png
12,3.5,1.8,9,50,4,WHELK_ARCTIC_SIDE_R4_COS0_GR3_NOT1_ST0_LRR0_SIDE_.png
